CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,LOCALITY,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUST_ID,ORDER_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE,AGE,ORDER_VALUE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Campi Sal,Campi Paisa,Campi Light,Olivetto suave,Olivetto intenso,Olivetto oliva,Gourmet aguacate,Gourmet coco,Gourmet oliva,Gourmet familia
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5179762243750832,,10003,1106,2016-06-23 00:00:00.000,2016-06-23 15:29:06.250,29.790.000,NC298 ,2016-07-15 00:00:00.000,27/07/2016,27,134.24,Complete,Phone,Frequent,MediumValue,Gen_Y,0,0,1,1,0,0,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5151795581583086,,10003,2948,2016-01-08 00:00:00.000,2016-01-08 03:13:54.564,17.870.000,SW277 ,2016-02-20 00:00:00.000,27/03/2016,27,53.4,Abandoned,Phone,Frequent,MediumValue,Gen_Y,0,0,1,0,1,0,0,1,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5172170955593514,,10003,3323,2016-08-25 00:00:00.000,2016-08-25 16:39:06.250,31.880.000,NC160 ,2016-09-19 00:00:00.000,27/09/2016,27,26.25,Complete,Desktop,Frequent,LowValue,Gen_Y,0,1,0,0,0,0,0,0,1,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5159253292458638,,10003,7498,2016-10-22 00:00:00.000,2016-10-22 08:19:56.145,18.450.000,SW409 ,2016-12-23 00:00:00.000,03/01/2016,27,5.65,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,1,0,0,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5139426156817496,,10003,7973,2016-04-06 00:00:00.000,2016-04-06 13:07:36.370,23.120.000,WE352 ,2016-04-20 00:00:00.000,01/04/2016,27,44.43,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5121842087536759,,10003,9107,2016-02-06 00:00:00.000,2016-02-06 13:07:36.370,22.770.000,NW379 ,2016-02-20 00:00:00.000,01/03/2016,27,24.18,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Anthony Whitney     ,Mr.,518 Highland    View      Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,,WE349 ,IT,NXFXLA90D69D741G,4469933134773785,,10007,7441,2016-01-20 00:00:00.000,2016-01-20 22:39:06.250,11.050.000,SC130 ,2016-02-10 00:00:00.000,27/02/2016,NA,9999999.0,Complete,Desktop,FirstTime,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4662808713742937,,10015,627,2016-03-16 17:47:25.000,2016-03-16 17:47:25.375,6.370.000,NC163 ,2016-03-16 17:47:25.000,05/08/2016,60,40.34,Complete,Phone,Occasional,LowValue,Baby_Boomers,1,1,0,1,0,0,1,0,0,2
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4016647581929587,,10015,1209,2016-01-20 00:00:00.000,2016-01-20 20:43:54.564,23.370.000,SW340 ,2016-02-10 00:00:00.000,27/02/2016,60,18.81,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,1,0,0,2
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4563884292028576,,10015,1556,2016-04-10 00:00:00.000,2016-04-10 18:36:44.886,19.810.000,NW310 ,2016-04-29 00:00:00.000,10/05/2016,60,34.04,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,1,0,0,1,1,0,0,1,2
